Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-10-10,2014,10,10,Friday,36.46,36.95,35.16,35.35,767400,35.35,-0.04252437087455763,35.507142857142874,38.22479999999999
2014-10-13,2014,10,13,Monday,35.31,35.87,34.33,35.34,725300,35.34,-0.00028283796222861035,35.50857142857145,38.216399999999986
2014-10-14,2014,10,14,Tuesday,35.68,37.3,35.57,36.61,1195800,36.61,0.035936628530848225,35.55857142857145,38.223399999999984
2014-10-15,2014,10,15,Wednesday,36.08,37.71,35.79,36.98,1281200,36.98,0.010106498926966578,35.72000000000002,38.24639999999999
2014-10-16,2014,10,16,Thursday,36.32,37.5,36.17,37.02,580200,37.02,0.0010816905360331308,35.894285714285736,38.24839999999998
2014-10-17,2014,10,17,Friday,37.26,37.41,36.84,37.06,1162200,37.06,0.0010805217458864647,36.0157142857143,38.27299999999998
2014-10-20,2014,10,20,Monday,36.83,37.3,36.57,36.86,517300,36.86,-0.005396674461096818,36.20285714285716,38.28219999999998
2014-10-21,2014,10,21,Tuesday,36.9,37.12,35.9,36.95,947600,36.95,0.0024416752875098258,36.33857142857145,38.24539999999998
2014-10-22,2014,10,22,Wednesday,36.79,37.55,36.14,37.17,1423900,37.17,0.005953921555165831,36.48714285714288,38.201599999999985
2014-10-23,2014,10,23,Thursday,39.03,39.56,37.0,37.19,4451000,37.19,0.000538080676592001,36.6007142857143,38.04119999999998
2014-10-24,2014,10,24,Friday,36.15,36.7,35.34,36.0,2331700,36.0,-0.031997813139319486,36.6257142857143,37.905999999999985
2014-10-27,2014,10,27,Monday,35.55,36.85,35.31,36.47,1283400,36.47,0.01305558946397567,36.64500000000002,37.816799999999986
2014-10-28,2014,10,28,Tuesday,36.41,36.51,35.66,36.24,2218700,36.24,-0.0063065405686294485,36.58285714285716,37.719399999999986
